"YEAR","STATE.UT","SERVICES...GDP","INDUSTRY...GDP","GDP.PER.CAPITA","POPULATION","X..URBAN","NO2","SO2"
2012,"Gujarat","48.67549283","40.08434714","69592.55351",59800000,40.6,24.2172995780591,13.3586497890295
2013,"Gujarat","48.55806545","38.18269444","74728.8646",60569000,40.9,17.8940936863544,12.0957230142566
2014,"Gujarat","#VALUE!","#VALUE!","#VALUE!",61329000,41.2,19.9218559218559,13.8401912902198
2004,"Haryana","44.00206399","32.90174907","42670.43207",22450000,30.3,21.3275,7.5075
2005,"Haryana","46.54312074","32.68840686","45714.19394",22883000,30.8,19.9008403361345,7.89915966386555
2006,"Haryana","46.58374443","32.10027235","49903.20837",23314000,31.2,14.5573170731707,8.89512195121951
2007,"Haryana","48.80472306","31.55151003","53140.1929",23743000,31.7,7.25040650406504,7.37479674796748
2008,"Haryana","50.34125662","30.18879095","56463.50585",24171000,32.2,7.69294117647059,7.69058823529412
2009,"Haryana","52.71915357","30.10569573","61989.05151",24597000,32.7,NA,NA
2010,"Haryana","53.57564441","29.59990279","65455.71543",25020000,33.1,19.7633928571429,13.4776785714286
2011,"Haryana","54.46258208","28.73846415","69545.56783",25439000,33.6,20.671186440678,10.8915254237288
2012,"Haryana","55.72166903","28.44778447","72191.08455",25854000,34.1,22.9666666666667,9.34444444444444
2013,"Haryana","56.97859172","27.77052506","76013.41278",26266000,34.6,22.7017543859649,10.7543859649123
2014,"Haryana","58.89306286","26.96339825","80654.44424",26675000,35.1,22.5575221238938,11.6725663716814
2004,"Jammu and Kashmir","43.71077129","28.2298014","25705.72397",10622000,24.8,NA,NA
2005,"Jammu and Kashmir","45.48764785","27.923718","26785.52351",10783000,25.6,NA,NA
2006,"Jammu and Kashmir","45.70960062","28.92987878","27969.63714",10941000,25.8,NA,NA
2007,"Jammu and Kashmir","50.0227573","29.05929121","29336.85918",11099000,26,NA,NA
2008,"Jammu and Kashmir","49.19712603","27.40696315","30793.47961",11257000,26.2,NA,NA
2009,"Jammu and Kashmir","50.34508041","27.37253308","31737.24374",11414000,26.4,NA,NA
2010,"Jammu and Kashmir","51.9051235","25.24092003","33082.60719",11568000,26.6,NA,NA
2011,"Jammu and Kashmir","54.13002193","24.15335758","35162.18638",11718000,26.8,NA,NA
2012,"Jammu and Kashmir","54.92069943","24.75968827","36579.82301",11865000,27,NA,NA
2013,"Jammu and Kashmir","54.67699635","25.09871931","38174.15487",12010000,27.2,NA,NA
2014,"Jammu and Kashmir","56.63997344","25.87415191","37134.88315",12152000,27.4,NA,NA
2004,"Jharkhand","32.93166138","52.14688579","21050.34522",28388000,22.6,57.6079012345679,11.7358024691358
2005,"Jharkhand","36.78450281","47.23941419","20054.22242",28846000,22.7,45.802,15.955
